country_code	include_code
900	0
901	0
902	0
941	0
934	0
948	0
947	0
903	0
910	0
108	2
174	2
262	2
232	2
231	2
404	2
450	2
454	2
480	2
175	2
508	2
638	2
646	2
690	2
706	2
728	2
800	2
834	2
894	2
716	2
911	0
24	2
120	2
140	2
148	2
178	2
180	2
226	2
266	2
678	2
912	0
12	2
818	2
434	2
504	2
729	2
788	2
732	2
913	0
72	2
426	2
516	2
710	2
748	2
914	0
204	2
854	2
132	2
384	2
270	2
288	2
324	2
624	2
430	2
466	2
478	2
562	2
566	2
654	2
686	2
694	2
768	2
935	0
906	0
156	2
344	2
446	2
408	2
392	2
496	2
410	2
158	2
921	0
5500	0
398	2
417	2
762	2
795	2
860	2
5501	0
4	2
50	2
64	2
356	2
364	2
462	2
524	2
586	2
144	2
920	0
96	2
116	2
360	2
418	2
458	2
104	2
608	2
702	2
764	2
626	2
704	2
922	0
51	2
31	2
48	2
196	2
268	2
368	2
376	2
400	2
414	2
422	2
275	2
512	2
634	2
682	2
760	2
792	2
784	2
887	2
908	0
923	0
112	2
100	2
203	2
348	2
616	2
498	2
642	2
643	2
703	2
804	2
924	0
830	2
208	2
233	2
234	2
246	2
352	2
372	2
833	2
428	2
440	2
578	2
752	2
826	2
925	0
8	2
20	2
70	2
191	2
292	2
300	2
336	2
380	2
470	2
499	2
620	2
674	2
688	2
705	2
724	2
807	2
926	0
40	2
56	2
250	2
276	2
438	2
442	2
492	2
528	2
756	2
904	0
915	0
660	2
28	2
533	2
44	2
52	2
92	2
535	2
136	2
192	2
531	2
212	2
214	2
308	2
312	2
332	2
388	2
474	2
500	2
630	2
659	2
662	2
670	2
534	2
780	2
796	2
850	2
916	0
84	2
188	2
222	2
320	2
340	2
484	2
558	2
591	2
931	0
32	2
68	2
76	2
152	2
170	2
218	2
238	2
254	2
328	2
600	2
604	2
740	2
858	2
862	2
905	0
60	2
124	2
304	2
666	2
840	2
909	0
927	0
36	2
554	2
928	0
242	2
540	2
598	2
90	2
548	2
954	0
316	2
296	2
584	2
583	2
520	2
580	2
585	2
957	0
16	2
184	2
258	2
570	2
612	2
882	2
772	2
776	2
798	2
876	2
