"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
1	"World"	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
2	"More developed regions"	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
3	"Less developed regions"	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
4	"Least developed countries"	941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
5	"Other less developed countries"	934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
6	"Less developed regions, excluding China"	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
7	"Sub-Saharan Africa"	947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
8	"Africa"	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
9	"Eastern Africa"	910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
10	"Burundi"	108	6.801	6.857	7.071	7.268	7.343	7.476	7.428	7.592	7.431	7.184	6.908	6.523	6.1423	5.7582	5.3894	5.0394	4.7096	4.4125	4.1355	3.8942	3.6656	3.467	3.2913	3.1321	2.9889	2.8635	2.7533	2.6445	2.5489	2.4585	2008
11	"Comoros"	174	6	6.601	6.909	7.05	7.05	7.05	7.05	6	5.3	5.3	5.3	5.08	4.79	4.5189	4.2677	4.0408	3.8369	3.6543	3.4859	3.3354	3.1964	3.0748	2.9617	2.8592	2.7703	2.68	2.5966	2.5178	2.4438	2.3714	2008
12	"Djibouti"	262	6.312	6.3874	6.547	6.707	6.845	6.644	6.257	6.181	5.85	4.812	4.217	3.8023	3.4252	3.1212	2.884	2.6936	2.5394	2.4026	2.2891	2.1908	2.1131	2.0484	1.9968	1.9537	1.9212	1.8999	1.8828	1.8709	1.8654	1.8617	2008
13	"Eritrea"	232	6.965	6.965	6.815	6.699	6.62	6.62	6.62	6.51	6.432	6.109	5.738	5.204	4.786	4.3898	4.02	3.6984	3.4143	3.1768	2.9718	2.7978	2.6511	2.5197	2.4151	2.323	2.2381	2.1709	2.1142	2.0692	2.0305	1.9986	2008
14	"Ethiopia"	231	7.1696	6.9023	6.8972	6.8691	7.1038	7.1838	7.4247	7.3673	7.0888	6.8335	6.131	5.258	4.6955	4.1078	3.64	3.2652	2.9799	2.7489	2.5607	2.4028	2.2715	2.169	2.0851	2.0201	1.966	1.93	1.8998	1.8826	1.8669	1.86	2008
15	"Kenya"	404	7.481	7.785	8.065	8.11	7.99	7.64	7.216	6.538	5.566	5.072	5	4.8	4.6229	4.351	4.048	3.788	3.5593	3.3586	3.184	3.0292	2.8907	2.7656	2.6513	2.5465	2.4527	2.3678	2.2912	2.2212	2.1629	2.1108	2008
16	"Madagascar"	450	7.3	7.3	7.3	7.3	7.3	7	6.1	6.3	6.139	5.801	5.278	4.83	4.5219	4.246	3.9982	3.7792	3.5766	3.4025	3.2441	3.1004	2.9705	2.8577	2.7477	2.6469	2.5537	2.4693	2.3826	2.311	2.2434	2.1796	2008
17	"Malawi"	454	6.7836	6.8436	7.0037	7.2038	7.4019	7.6	7.58	7.3998	6.595	6.435	6.065	5.829	5.608	5.3237	4.9607	4.6317	4.3369	4.0726	3.8363	3.629	3.4466	3.2853	3.1416	3.0098	2.892	2.7843	2.6832	2.5909	2.5118	2.4388	2008
18	"Mauritius"	480	5.895	5.895	6.195	4.61	3.466	3.105	2.3015	2.3118	2.2465	2.0332	1.9335	1.5782	1.5116	1.4971	1.5304	1.5647	1.5995	1.6303	1.6599	1.6906	1.7156	1.7385	1.7596	1.7785	1.7964	1.8113	1.8213	1.8321	1.8417	1.8492	2008
19	"Mayotte"	175	7.91	7.91	7.91	7.91	7.91	7.91	7.3504	6.727	5.08	4.7625	4.445	4.3	4.1873	3.836	3.4898	3.2115	2.9814	2.785	2.6181	2.4697	2.3437	2.2314	2.14	2.0617	1.9979	1.9495	1.9139	1.8905	1.8761	1.8668	2008
20	"Mozambique"	508	6.6	6.6	6.6	6.6	6.575	6.525	6.4444	6.3306	6.1194	5.8466	5.7319	5.57	5.2683	4.9552	4.6419	4.3417	4.0597	3.8014	3.5715	3.3667	3.1853	3.019	2.8771	2.7468	2.6349	2.5271	2.4315	2.3518	2.2794	2.2133	2008
21	"Reunion"	638	6.9294	6.5699	6.5632	5.6722	3.875	3.12	2.7765	2.713	2.405	2.3279	2.445	2.3969	2.2542	2.1331	2.0549	2.0013	1.9666	1.9455	1.9307	1.923	1.9184	1.9151	1.9128	1.9132	1.9125	1.9141	1.917	1.9189	1.9198	1.9219	2008
22	"Rwanda"	646	8	8.15	8.15	8.2	8.284	8.432	8.375	7.987	6.554	6.085	5.6	5.23	4.7674	4.2052	3.7945	3.4603	3.1834	2.9444	2.7407	2.5625	2.4056	2.2697	2.154	2.0571	1.9796	1.9213	1.8776	1.8476	1.8286	1.8175	2008
23	"Seychelles"	690	5	5	5.59	5.92	5.3819	4.2696	3.5077	2.9377	2.5734	2.178	2.2	2.3	2.2068	2.1245	2.0561	2.0044	1.9683	1.9367	1.9163	1.9041	1.896	1.8941	1.8915	1.8902	1.8937	1.894	1.895	1.8983	1.9013	1.9068	2008
24	"Somalia"	706	7.25	7.25	7.25	7.25	7.1	7	7.071	7.258	7.531	7.698	7.442	7.102	7.1214	6.7839	6.3961	5.9946	5.594	5.1977	4.8429	4.4982	4.1821	3.9046	3.6538	3.4383	3.2387	3.0655	2.9087	2.7711	2.6517	2.5374	2008
25	"South Sudan"	728	6.65	6.7	6.75	6.85	6.9	6.992	7.082	7.162	7.082	6.747	6.22	5.837	5.2707	4.8452	4.4558	4.1154	3.815	3.5534	3.3261	3.1348	2.9629	2.8158	2.6834	2.5632	2.4544	2.3611	2.2794	2.2102	2.1467	2.0933	2008
26	"Uganda"	800	6.9	6.95	7.05	7.12	7.1	7.1	7.1	7.1	7.063	6.946	6.745	6.38	5.9734	5.5622	5.163	4.7848	4.4338	4.124	3.842	3.5961	3.3726	3.1784	3.0114	2.8649	2.7376	2.6204	2.5115	2.4195	2.3282	2.2557	2008
27	"United Republic of Tanzania"	834	6.74	6.801	6.8	6.79	6.75	6.73	6.55	6.36	6.05	5.75	5.66	5.579	5.4993	5.3622	5.0678	4.7789	4.5027	4.2417	4.0026	3.7851	3.5914	3.4169	3.2616	3.1245	2.9996	2.8853	2.7861	2.6923	2.6104	2.537	2008
28	"Zambia"	894	6.75	6.9	7.15	7.4	7.425	7.375	6.95	6.658	6.3	6.2	6.1	6.2	6.1083	5.9206	5.6431	5.3737	5.1171	4.8685	4.6366	4.4185	4.2147	4.027	3.8567	3.6995	3.5563	3.4263	3.3055	3.1964	3.0962	3.004	2008
29	"Zimbabwe"	716	6.8	7	7.3	7.4	7.4	7.3	6.74	5.656	4.773	4.2	4.01	3.9	3.75	3.55	3.2587	3.0215	2.8168	2.643	2.4989	2.3817	2.2914	2.2271	2.1889	2.173	2.175	2.1899	2.2126	2.2395	2.2713	2.3014	2008
30	"Middle Africa"	911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
31	"Angola"	24	7	7.2	7.4	7.4	7.2	7.2	7.2	7.2	7.102	6.924	6.75	6.5	5.9	5.8618	5.5064	5.1567	4.8131	4.4762	4.1784	3.8973	3.6475	3.4206	3.2276	3.0505	2.9026	2.7622	2.6503	2.5464	2.4505	2.37	2013
