"Index"	"Major area, region, country or area"	"country_code"	"reg_code"	"reg_name"	"area_code"	"area_name"	"location_type"	"include_code"
1	"WORLD"	900	900	"World"	900	"World"	0	0
2	"More developed regions"	901	901	"More developed regions"	900	"World"	5	0
3	"Less developed regions"	902	902	"Less developed regions"	900	"World"	5	0
4	"Least developed countries"	941	941	"Least developed countries"	902	"Less developed regions"	5	0
5	"Other less developed countries"	934	934	"Other less developed countries"	902	"Less developed regions"	5	0
6	"Less developed regions, excluding China"	948	948	"Less developed regions, excluding China"	902	"Less developed regions"	12	0
7	"Sub-Saharan Africa"	947	947	"Sub-Saharan Africa"	902	"Less developed regions"	12	0
8	"AFRICA"	903	903	"Africa"	900	"World"	2	0
9	"Eastern Africa"	910	910	"Eastern Africa"	903	"Africa"	3	0
10	"Burundi"	108	910	"Eastern Africa"	903	"Africa"	4	2
11	"Comoros"	174	910	"Eastern Africa"	903	"Africa"	4	2
12	"Djibouti"	262	910	"Eastern Africa"	903	"Africa"	4	2
13	"Eritrea"	232	910	"Eastern Africa"	903	"Africa"	4	2
14	"Ethiopia"	231	910	"Eastern Africa"	903	"Africa"	4	2
15	"Kenya"	404	910	"Eastern Africa"	903	"Africa"	4	2
16	"Madagascar"	450	910	"Eastern Africa"	903	"Africa"	4	2
17	"Malawi"	454	910	"Eastern Africa"	903	"Africa"	4	2
18	"Mauritius"	480	910	"Eastern Africa"	903	"Africa"	4	2
19	"Mayotte"	175	910	"Eastern Africa"	903	"Africa"	4	2
20	"Mozambique"	508	910	"Eastern Africa"	903	"Africa"	4	2
21	"Reunion"	638	910	"Eastern Africa"	903	"Africa"	4	2
22	"Rwanda"	646	910	"Eastern Africa"	903	"Africa"	4	2
23	"Seychelles"	690	910	"Eastern Africa"	903	"Africa"	4	2
24	"Somalia"	706	910	"Eastern Africa"	903	"Africa"	4	2
25	"Uganda"	800	910	"Eastern Africa"	903	"Africa"	4	2
26	"United Republic of Tanzania"	834	910	"Eastern Africa"	903	"Africa"	4	2
27	"Zambia"	894	910	"Eastern Africa"	903	"Africa"	4	2
28	"Zimbabwe"	716	910	"Eastern Africa"	903	"Africa"	4	2
29	"Middle Africa"	911	911	"Middle Africa"	903	"Africa"	3	0
30	"Angola"	24	911	"Middle Africa"	903	"Africa"	4	2
31	"Cameroon"	120	911	"Middle Africa"	903	"Africa"	4	2
32	"Central African Republic"	140	911	"Middle Africa"	903	"Africa"	4	2
33	"Chad"	148	911	"Middle Africa"	903	"Africa"	4	2
34	"Congo"	178	911	"Middle Africa"	903	"Africa"	4	2
35	"Democratic Republic of the Congo"	180	911	"Middle Africa"	903	"Africa"	4	2
36	"Equatorial Guinea"	226	911	"Middle Africa"	903	"Africa"	4	2
37	"Gabon"	266	911	"Middle Africa"	903	"Africa"	4	2
38	"Sao Tome and Principe"	678	911	"Middle Africa"	903	"Africa"	4	2
39	"Northern Africa"	912	912	"Northern Africa"	903	"Africa"	3	0
40	"Algeria"	12	912	"Northern Africa"	903	"Africa"	4	2
41	"Egypt"	818	912	"Northern Africa"	903	"Africa"	4	2
42	"Libyan Arab Jamahiriya"	434	912	"Northern Africa"	903	"Africa"	4	2
43	"Morocco"	504	912	"Northern Africa"	903	"Africa"	4	2
44	"Sudan"	736	912	"Northern Africa"	903	"Africa"	4	2
45	"Tunisia"	788	912	"Northern Africa"	903	"Africa"	4	2
46	"Western Sahara"	732	912	"Northern Africa"	903	"Africa"	4	2
47	"Southern Africa"	913	913	"Southern Africa"	903	"Africa"	3	0
48	"Botswana"	72	913	"Southern Africa"	903	"Africa"	4	2
49	"Lesotho"	426	913	"Southern Africa"	903	"Africa"	4	2
50	"Namibia"	516	913	"Southern Africa"	903	"Africa"	4	2
51	"South Africa"	710	913	"Southern Africa"	903	"Africa"	4	2
52	"Swaziland"	748	913	"Southern Africa"	903	"Africa"	4	2
53	"Western Africa"	914	914	"Western Africa"	903	"Africa"	3	0
54	"Benin"	204	914	"Western Africa"	903	"Africa"	4	2
55	"Burkina Faso"	854	914	"Western Africa"	903	"Africa"	4	2
56	"Cape Verde"	132	914	"Western Africa"	903	"Africa"	4	2
57	"Cote d'Ivoire"	384	914	"Western Africa"	903	"Africa"	4	2
58	"Gambia"	270	914	"Western Africa"	903	"Africa"	4	2
59	"Ghana"	288	914	"Western Africa"	903	"Africa"	4	2
60	"Guinea"	324	914	"Western Africa"	903	"Africa"	4	2
61	"Guinea-Bissau"	624	914	"Western Africa"	903	"Africa"	4	2
62	"Liberia"	430	914	"Western Africa"	903	"Africa"	4	2
63	"Mali"	466	914	"Western Africa"	903	"Africa"	4	2
64	"Mauritania"	478	914	"Western Africa"	903	"Africa"	4	2
65	"Niger"	562	914	"Western Africa"	903	"Africa"	4	2
66	"Nigeria"	566	914	"Western Africa"	903	"Africa"	4	2
67	"Saint Helena"	654	914	"Western Africa"	903	"Africa"	4	2
68	"Senegal"	686	914	"Western Africa"	903	"Africa"	4	2
69	"Sierra Leone"	694	914	"Western Africa"	903	"Africa"	4	2
70	"Togo"	768	914	"Western Africa"	903	"Africa"	4	2
71	"ASIA"	935	935	"Asia"	900	"World"	2	0
72	"Eastern Asia"	906	906	"Eastern Asia"	935	"Asia"	3	0
73	"China"	156	906	"Eastern Asia"	935	"Asia"	4	2
74	"China, Hong Kong SAR"	344	906	"Eastern Asia"	935	"Asia"	4	2
75	"China, Macao SAR"	446	906	"Eastern Asia"	935	"Asia"	4	2
76	"Dem. People's Republic of Korea"	408	906	"Eastern Asia"	935	"Asia"	4	2
77	"Japan"	392	906	"Eastern Asia"	935	"Asia"	4	2
78	"Mongolia"	496	906	"Eastern Asia"	935	"Asia"	4	2
79	"Republic of Korea"	410	906	"Eastern Asia"	935	"Asia"	4	2
80	"Taiwan, Province of China"	158	906	"Eastern Asia"	935	"Asia"	4	2
81	"South-Central Asia"	921	921	"South-Central Asia"	935	"Asia"	3	0
82	"Central Asia"	5500	921	"South-Central Asia"	935	"Asia"	3	0
83	"Kazakhstan"	398	5500	"Central Asia"	935	"Asia"	4	2
84	"Kyrgyzstan"	417	5500	"Central Asia"	935	"Asia"	4	2
85	"Tajikistan"	762	5500	"Central Asia"	935	"Asia"	4	2
86	"Turkmenistan"	795	5500	"Central Asia"	935	"Asia"	4	2
87	"Uzbekistan"	860	5500	"Central Asia"	935	"Asia"	4	2
88	"Southern Asia"	5501	921	"South-Central Asia"	935	"Asia"	3	0
89	"Afghanistan"	4	5501	"Southern Asia"	935	"Asia"	4	2
90	"Bangladesh"	50	5501	"Southern Asia"	935	"Asia"	4	2
91	"Bhutan"	64	5501	"Southern Asia"	935	"Asia"	4	2
92	"India"	356	5501	"Southern Asia"	935	"Asia"	4	2
93	"Iran (Islamic Republic of)"	364	5501	"Southern Asia"	935	"Asia"	4	2
94	"Maldives"	462	5501	"Southern Asia"	935	"Asia"	4	2
95	"Nepal"	524	5501	"Southern Asia"	935	"Asia"	4	2
96	"Pakistan"	586	5501	"Southern Asia"	935	"Asia"	4	2
97	"Sri Lanka"	144	5501	"Southern Asia"	935	"Asia"	4	2
98	"South-Eastern Asia"	920	920	"South-Eastern Asia"	935	"Asia"	3	0
99	"Brunei Darussalam"	96	920	"South-Eastern Asia"	935	"Asia"	4	2
100	"Cambodia"	116	920	"South-Eastern Asia"	935	"Asia"	4	2
101	"Indonesia"	360	920	"South-Eastern Asia"	935	"Asia"	4	2
102	"Lao People's Democratic Republic"	418	920	"South-Eastern Asia"	935	"Asia"	4	2
103	"Malaysia"	458	920	"South-Eastern Asia"	935	"Asia"	4	2
104	"Myanmar"	104	920	"South-Eastern Asia"	935	"Asia"	4	2
105	"Philippines"	608	920	"South-Eastern Asia"	935	"Asia"	4	2
106	"Singapore"	702	920	"South-Eastern Asia"	935	"Asia"	4	2
107	"Thailand"	764	920	"South-Eastern Asia"	935	"Asia"	4	2
108	"Timor-Leste"	626	920	"South-Eastern Asia"	935	"Asia"	4	2
109	"Viet Nam"	704	920	"South-Eastern Asia"	935	"Asia"	4	2
110	"Western Asia"	922	921	"South-Central Asia"	935	"Asia"	3	0
111	"Armenia"	51	922	"Western Asia"	935	"Asia"	4	2
112	"Azerbaijan"	31	922	"Western Asia"	935	"Asia"	4	2
113	"Bahrain"	48	922	"Western Asia"	935	"Asia"	4	2
114	"Cyprus"	196	922	"Western Asia"	935	"Asia"	4	2
115	"Georgia"	268	922	"Western Asia"	935	"Asia"	4	2
116	"Iraq"	368	922	"Western Asia"	935	"Asia"	4	2
117	"Israel"	376	922	"Western Asia"	935	"Asia"	4	2
118	"Jordan"	400	922	"Western Asia"	935	"Asia"	4	2
119	"Kuwait"	414	922	"Western Asia"	935	"Asia"	4	2
120	"Lebanon"	422	922	"Western Asia"	935	"Asia"	4	2
121	"Occupied Palestinian Territory"	275	922	"Western Asia"	935	"Asia"	4	2
122	"Oman"	512	922	"Western Asia"	935	"Asia"	4	2
123	"Qatar"	634	922	"Western Asia"	935	"Asia"	4	2
124	"Saudi Arabia"	682	922	"Western Asia"	935	"Asia"	4	2
125	"Syrian Arab Republic"	760	922	"Western Asia"	935	"Asia"	4	2
126	"Turkey"	792	922	"Western Asia"	935	"Asia"	4	2
127	"United Arab Emirates"	784	922	"Western Asia"	935	"Asia"	4	2
128	"Yemen"	887	922	"Western Asia"	935	"Asia"	4	2
129	"EUROPE"	908	908	"Europe"	900	"World"	2	0
130	"Eastern Europe"	923	923	"Eastern Europe"	908	"Europe"	3	0
131	"Belarus"	112	923	"Eastern Europe"	908	"Europe"	4	2
132	"Bulgaria"	100	923	"Eastern Europe"	908	"Europe"	4	2
133	"Czech Republic"	203	923	"Eastern Europe"	908	"Europe"	4	2
