"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
"Burundi"	108	6.801	6.857	7.071	7.268	7.343	7.476	7.428	7.592	7.431	7.174	6.905	6.532	4.1	3.61	3.21	2.89	2.63	2.43	2.27	2.13	2.02	1.92	1.84	1.78	1.74	1.71	1.69	1.68	1.68	1.69	2008
"Comoros"	174	6	6.601	6.909	7.05	7.05	7.05	7.05	6	5.3	5.3	5.3	5.08	4.7417	4.4253	4.1325	3.8652	3.6269	3.4162	3.2287	3.0637	2.9179	2.7849	2.667	2.5621	2.4648	2.3765	2.297	2.2251	2.1622	2.109	2008
"Djibouti"	262	6.312	6.3874	6.547	6.707	6.845	6.644	6.257	6.181	5.85	4.812	4.217	3.8023	3.4286	3.2753	3.015	2.8024	2.6232	2.4731	2.3446	2.2338	2.1397	2.0601	1.9944	1.9419	1.9033	1.8759	1.8567	1.8465	1.8438	1.8451	2008
"Eritrea"	232	6.965	6.965	6.815	6.699	6.62	6.62	6.62	6.51	6.432	6.109	5.738	5.204	4.2426	3.8438	3.4902	3.1871	2.9364	2.7304	2.5575	2.4154	2.2933	2.1909	2.1037	2.0331	1.9774	1.9329	1.9018	1.8809	1.8686	1.8624	2008
"Ethiopia"	231	7.1696	6.9023	6.8972	6.8691	7.1038	7.1838	7.4247	7.4673	7.1888	6.9335	6.231	5.378	3.8477	3.2448	2.808	2.5036	2.2803	2.107	1.9719	1.87	1.7938	1.7438	1.7157	1.7061	1.7119	1.7277	1.7512	1.7789	1.8077	1.8355	2008
"Kenya"	404	7.481	7.785	8.065	8.11	7.99	7.64	7.216	6.538	5.566	5.072	5	4.8	4.6215	4.3097	3.9736	3.6836	3.4325	3.2156	3.0279	2.8638	2.7183	2.5888	2.4716	2.3667	2.2728	2.1899	2.1166	2.0526	1.998	1.9532	2008
"Madagascar"	450	7.3	7.3	7.3	7.3	7.3	7	6.1	6.3	6.139	5.801	5.278	4.83	4.495	4.1889	3.9097	3.659	3.4382	3.2448	3.0712	2.9187	2.7858	2.6642	2.5539	2.4538	2.3637	2.2806	2.2081	2.1455	2.0924	2.0469	2008
"Malawi"	454	6.7836	6.8436	7.0037	7.2038	7.4019	7.6	7.58	7.3998	6.595	6.435	6.065	5.829	5.7	5.6	5.5171	5.1825	4.8653	4.5672	4.2911	4.0388	3.8092	3.6018	3.4167	3.2493	3.1007	2.9675	2.848	2.7394	2.641	2.5531	2008
"Mauritius"	480	5.895	5.895	6.195	4.61	3.466	3.105	2.3015	2.3118	2.2465	2.0332	1.9335	1.5782	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	1.3962	2008
"Mayotte"	175	7.91	7.91	7.91	7.91	7.91	7.91	7.3504	6.727	5.08	4.7625	4.445	4.3	4.1844	3.8375	3.4688	3.1723	2.9265	2.7193	2.5409	2.3851	2.2493	2.1306	2.0295	1.9459	1.8796	1.8302	1.7966	1.7766	1.7695	1.7727	2008
"Mozambique"	508	6.6	6.6	6.6	6.6	6.575	6.525	6.4444	6.3306	6.1194	5.8466	5.7319	5.57	5.1271	4.7058	4.3221	3.9741	3.6657	3.399	3.1714	2.979	2.8141	2.6742	2.5495	2.4419	2.3531	2.2791	2.216	2.167	2.1303	2.1032	2008
"Reunion"	638	6.9294	6.5699	6.5632	5.6722	3.875	3.12	2.7765	2.713	2.405	2.3279	2.445	2.3969	2.2502	2.1255	2.024	1.9453	1.8899	1.8547	1.8377	1.8337	1.8396	1.8517	1.8674	1.8841	1.902	1.9199	1.9362	1.9527	1.9674	1.9815	2008
"Rwanda"	646	8	8.15	8.15	8.2	8.284	8.432	8.375	7.987	6.554	6.085	5.6	5.23	5.2825	4.9083	4.4359	4.0383	3.7051	3.4235	3.184	2.977	2.7946	2.6348	2.4919	2.3639	2.25	2.1501	2.0632	1.9901	1.9307	1.8846	2008
"Seychelles"	690	5	5	5.59	5.92	5.3819	4.2696	3.5077	2.9377	2.5734	2.178	2.2	2.3	2.3	2.0491	1.9683	1.9212	1.9055	1.9126	1.93	1.95	1.97	1.99	2.01	2.03	2.05	2.07	2.09	2.11	2.1161	2.1161	2008
"Somalia"	706	7.25	7.25	7.25	7.25	7.1	7	7.071	7.258	7.531	7.698	7.542	7.382	6.2826	6.1876	5.9021	5.596	5.2783	4.9581	4.6439	4.3446	4.0639	3.8052	3.5707	3.3605	3.1728	3.0054	2.8576	2.727	2.6125	2.5113	2008
"South Sudan"	728	6.65	6.7	6.75	6.85	6.9	6.992	7.082	7.162	7.082	6.747	6.22	5.737	5.3058	4.8071	4.295	3.8123	3.5778	3.3789	3.2089	3.0649	2.9427	2.8352	2.7398	2.6629	2.5961	2.5422	2.4986	2.4683	2.4459	2.4293	2008
"Uganda"	800	6.9	6.95	7.05	7.12	7.1	7.1	7.1	7.1	7.063	6.946	6.745	6.38	5.9036	5.4286	4.9714	4.5389	4.1403	3.7828	3.4706	3.2006	2.9727	2.7808	2.6168	2.4748	2.3535	2.2507	2.1636	2.0946	2.0396	1.9965	2008
"United Republic of Tanzania"	834	6.74	6.801	6.8	6.79	6.75	6.73	6.55	6.36	6.05	5.75	5.66	5.579	5.4983	5.3204	4.9897	4.6718	4.3698	4.0882	3.8302	3.5966	3.3883	3.2034	3.0406	2.8956	2.7678	2.6553	2.5551	2.4654	2.3855	2.3139	2008
"Zambia"	894	6.75	6.9	7.15	7.4	7.425	7.375	6.95	6.658	6.3	6.2	6.1	6.2	6.2996	6.3037	5.9842	5.6701	5.3651	5.0713	4.7915	4.5283	4.2804	4.0515	3.8403	3.648	3.4736	3.3147	3.1726	3.0432	2.926	2.8199	2008
"Zimbabwe"	716	6.8	7	7.3	7.4	7.4	7.3	6.74	5.656	4.773	4.2	4.01	3.9	3.75	3.55	3.2587	3.0215	2.8168	2.643	2.4989	2.3817	2.2914	2.2271	2.1889	2.173	2.175	2.1899	2.2126	2.2395	2.2713	2.3014	2008
"Angola"	24	7	7.2	7.4	7.4	7.2	7.2	7.2	7.2	7.102	6.924	6.75	6.5	5.131	4.5295	3.9909	3.5278	3.1541	2.8594	2.625	2.4379	2.2833	2.1579	2.0566	1.9776	1.9189	1.8757	1.846	1.8272	1.8158	1.8138	2008
"Cameroon"	120	5.489	5.527	5.805	6.085	6.507	6.873	7.052	6.898	6.417	5.974	5.742	5.408	4.28	3.92	3.61	3.33	3.1	2.9	2.72	2.57	2.44	2.32	2.23	2.14	2.06	1.99	1.93	1.88	1.84	1.81	2008
"Central African Republic"	140	5.516	5.75	5.9	5.95	5.95	5.95	5.95	5.9	5.65	5.54	5.3	4.8465	4.4247	4.0237	3.655	3.3295	3.0486	2.8163	2.6247	2.4674	2.3371	2.2273	2.1354	2.0602	2.0022	1.9557	1.9206	1.8964	1.8803	1.8708	2008
"Chad"	148	6.1	6.2	6.3	6.4	6.671	6.874	7.037	7.212	7.388	7.417	7.337	7.247	5.737	5.2538	4.785	4.3435	3.9368	3.5748	3.2663	3.0058	2.7895	2.6079	2.4557	2.3259	2.2183	2.129	2.0584	2.0035	1.9611	1.9302	2008
"Congo"	178	5.684	5.786	5.989	6.192	6.293	6.293	5.994	5.547	5.207	5.0132	4.85	4.64	4.4417	4.1653	3.8666	3.5982	3.3603	3.1516	2.9719	2.8161	2.6801	2.563	2.4588	2.3672	2.2866	2.2157	2.154	2.1	2.054	2.0157	2008
"Dem. Republic of the Congo"	180	5.98	5.98	6.04	6.15	6.289	6.462	6.72	6.975	7.136	7.036	6.703	6.074	5.4834	4.9303	4.4158	3.9537	3.5566	3.2281	2.9573	2.734	2.5522	2.3998	2.2703	2.165	2.0782	2.0106	1.9582	1.9196	1.8933	1.8734	2008
"Equatorial Guinea"	226	5.501	5.499	5.53	5.658	5.68	5.68	5.79	5.89	5.89	5.868	5.638	5.36	4.9811	4.4762	4.0121	3.6043	3.2611	2.9789	2.7487	2.5626	2.4099	2.2853	2.182	2.098	2.0309	1.9772	1.935	1.9033	1.8801	1.8643	2008
"Gabon"	266	3.987	4.201	4.587	4.933	5.228	5.572	5.721	5.577	5.217	4.766	4.474	4.285	4.1235	3.04	2.91	2.78	2.67	2.57	2.47	2.38	2.3	2.23	2.16	2.1	2.04	1.99	1.94	1.91	1.88	1.86	2013
"Sao Tome and Principe"	678	6.2	6.2	6.3	6.4	6.5155	6.495	6.2372	5.6587	5.1633	4.7963	4.61	4.45	4.2	4.01	3.82	3.6	3.3492	3.1699	3.0019	2.868	2.7497	2.655	2.5751	2.5168	2.4701	2.4387	2.4222	2.4143	2.4122	2.4163	2008
"Algeria"	12	7.648	7.648	7.648	7.648	7.572	7.175	6.49	5.374	4.131	2.885	2.3843	2.724	2.8213	1.92	1.77	1.65	1.55	1.49	1.47	1.47	1.49	1.54	1.58	1.62	1.67	1.7	1.74	1.77	1.8	1.82	2013
"Egypt"	818	6.624	6.65	6.55	6.2	5.7	5.5	5.2	4.8	3.9	3.5	3.15	2.981	2.6358	2.4602	2.3174	2.1977	2.0952	2.0074	1.9359	1.8795	1.839	1.8101	1.7949	1.7886	1.7904	1.7976	1.8105	1.827	1.8452	1.8645	2008
"Libyan Arab Jamahiriya"	434	7.268	7.645	8.124	8.478	8.661	8.394	7.342	5.704	4.3201	3.301	2.924	2.6741	2.4095	2.1693	1.981	1.829	1.7157	1.64	1.6049	1.6066	1.6361	1.6767	1.7216	1.7641	1.803	1.8382	1.869	1.8968	1.9212	1.9422	2008
"Morocco"	504	6.608	6.896	7.15	6.9504	6.427	5.9	5.4	4.447	3.701	2.968	2.522	2.376	2.781	2.0305	1.9073	1.81	1.7352	1.6837	1.6528	1.6415	1.6474	1.6659	1.6911	1.722	1.7529	1.7832	1.8119	1.8386	1.8642	1.8871	2013
"Sudan"	729	6.65	6.65	6.75	6.861	6.982	7.0187	6.879	6.7078	6.4122	5.982	5.6846	5.328	4.934	4.4219	3.9274	3.5089	3.278	3.0773	2.9072	2.7506	2.6188	2.5061	2.4016	2.3074	2.226	2.1567	2.0954	2.0453	2.0031	1.9686	2008
"Tunisia"	788	6.742	6.874	7.14	6.822	6.042	5.69	4.92	3.974	3.125	2.317	2.038	2.053	1.9091	1.7981	1.7178	1.6719	1.6534	1.6614	1.6872	1.7213	1.7596	1.7947	1.8283	1.8582	1.8868	1.9114	1.9335	1.9524	1.9705	1.9852	2008
"Western Sahara"	732	6.342	6.424	6.534	6.6	6.5732	6.234	5.3321	4.537	3.961	3.1834	2.813	2.5743	2.384	2.26	2.1	1.97	1.86	1.77	1.7	1.65	1.61	1.59	1.59	1.59	1.61	1.63	1.66	1.69	1.72	1.74	2008
"Botswana"	72	6.5	6.575	6.65	6.7	6.546	6.366	5.965	5.109	4.321	3.7	3.18	2.896	2.6198	2.4058	2.2385	2.1004	1.9848	1.8928	1.8192	1.7664	1.7314	1.7132	1.7087	1.7157	1.731	1.7519	1.7751	1.799	1.8244	1.8474	2008
"Lesotho"	426	5.84	5.861	5.811	5.8	5.8	5.686	5.459	5.135	4.701	4.373	3.793	3.373	3.0538	2.79	2.5817	2.4126	2.2759	2.1643	2.0705	1.9952	1.9343	1.8855	1.85	1.8272	1.8134	1.8075	1.8079	1.8132	1.8226	1.8359	2008
"Namibia"	516	6	6.1	6.2	6.3	6.6	6.6	6.2	5.547	4.912	4.292	3.808	3.401	3.0556	2.7824	2.5673	2.3947	2.2505	2.1304	2.0289	1.9464	1.8797	1.8305	1.7962	1.7758	1.7657	1.7668	1.7733	1.7848	1.8009	1.819	2008
"South Africa"	710	6.5	6.5	6.3	5.7	5.47	5	4.556	4	3.343	2.954	2.802	2.55	2.3852	2.2469	2.1311	2.0317	1.9493	1.8831	1.831	1.7931	1.769	1.7576	1.7535	1.7582	1.7684	1.7837	1.802	1.8217	1.8414	1.8604	2008
"Swaziland"	748	6.7	6.7	6.75	6.849	6.866	6.733	6.537	6.132	5.295	4.491	4.01	3.75	3.3323	2.8635	2.6196	2.4292	2.2719	2.1395	2.0294	1.9401	1.8669	1.813	1.7758	1.7532	1.7432	1.7432	1.7506	1.7652	1.7837	1.8036	2008
