country_code	country	reg_code	name	1920-1925	1925-1930	1930-1935	1935-1940	1940-1945	1945-1950	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	last.observed	include_code
36	Australia	0	Australia						3.084424138	3.157525137	3.387251211	3.340531555	2.9105192	2.608676	1.9885	1.907	1.8589	1.86	1.776	1.7539	1.886555556	2009	0
36	Australia	183	Australian Capital Territory						4.286450646	3.471297959	3.6	3.625228806	3.010233889	2.623219495	2.0395	1.8749	1.7369	1.7444	1.6214	1.5736	1.717777778	2009	2
36	Australia	185	New South Wales						2.9452151	2.969184688	3.182731846	3.163896096	2.7439768	2.52146	1.9822	1.9173	1.9022	1.9044	1.8243	1.7874	1.834333333	2009	2
36	Australia	186	Northern Territory						4.170232647	4.384541774	4.516818198	4.153763689	3.5115072	3.436492	2.7381	2.3874	2.2443	2.3019	2.2007	2.2449	2.185888889	2009	2
36	Australia	187	Queensland						3.393808691	3.404542747	3.619264764	3.583486632	3.047033305	2.737983154	2.0873	2.0236	1.8753	1.8896	1.8079	1.7919	2.006	2009	2
36	Australia	188	South Australia						3.235212462	3.321831727	3.576177039	3.492686361	2.796609857	2.34080273	1.8172	1.7802	1.7309	1.7396	1.7198	1.705	1.867111111	2009	2
36	Australia	189	Tasmania						3.594512098	3.602288083	3.819298994	3.733782404	3.004984971	2.613806545	2.0727	2.0105	1.9147	1.9283	1.8488	1.9572	2.171555556	2009	2
36	Australia	191	Victoria						3.000659295	3.111086347	3.323273694	3.306447253	2.940205426	2.535852233	1.9405	1.8267	1.7986	1.7969	1.6787	1.6631	1.802222222	2009	2
36	Australia	192	Western Australia						3.501103243	3.595757068	3.656186589	3.498214098	3.084051323	2.59922125	2.0498	1.9387	1.9252	1.8812	1.8016	1.7623	1.982888889	2009	2
124	Canada	0	Canada	3.31	3.281	2.995	2.689	2.941	3.407	3.656	3.893	3.677	2.61	1.979	1.737	1.633	1.618	1.698	1.562	1.536	1.645555556	2009	0
124	Canada	658	Alberta	2.854444444	3.531	3.202	2.804	3.063	3.587	3.992	4.323	4.038	2.925	2.19	1.912	1.86	1.844	1.85	1.72	1.708	1.864444444	2009	2
124	Canada	659	British Columbia	2.55	2.29	2.018	1.973	2.349	2.879	3.444	3.919	3.58	2.545	1.918	1.645	1.65	1.631	1.656	1.478	1.412	1.491111111	2009	2
124	Canada	660	Manitoba	3.652222222	3.024	2.667	2.382	2.667	3.152	3.462	3.77	3.779	2.826	2.314	1.922	1.819	1.864	1.963	1.838	1.814	1.935555556	2009	2
124	Canada	661	New Brunswick	4.138888889	3.834	3.775	3.54	3.818	4.531	4.485	4.579	4.33	3.052	2.354	1.868	1.646	1.542	1.55	1.449	1.417	1.532222222	2009	2
124	Canada	662	Newfoundland and Labrador															1.383434913	1.284	1.318	1.491111111	2009	2
124	Canada	663	Northwest Territories									7.022	6.073	3.904	3.018	2.901	2.815	2.356	2.03	1.97	2.065555556	2009	2
124	Canada	664	Nova Scotia	3.453333333	3.217	3.229	2.911	3.149	3.712	3.884	4.124	4.025	2.871	2.222	1.779	1.625	1.592	1.578	1.451	1.397	1.471111111	2009	2
124	Canada	665	Nunavut															3.534265306	3.279	3.021	2.973333333	2009	2
124	Canada	666	Ontario	3.027777778	2.722	2.468	2.228	2.467	3.036	3.399	3.71	3.617	2.617	1.997	1.667	1.593	1.604	1.675	1.548	1.513	1.562222222	2009	2
124	Canada	667	Prince Edward Island	3.52	3.213	3.496	3.309	3.606	4.363	4.314	4.622	4.644	3.309	2.513	2.057	1.882	1.851	1.818	1.643	1.556	1.66	2009	2
124	Canada	668	Quebec		4.182222222	3.691	3.287	3.516	3.804	3.85	3.919	3.506	2.364	1.724	1.676	1.485	1.44	1.646	1.509	1.493	1.684444444	2009	2
124	Canada	669	Saskatchewan	4.131111111	3.792	3.357	2.91	3.014	3.481	3.798	4.182	4.154	3.097	2.496	2.212	2.103	2.028	2.014	1.87	1.867	1.998888889	2009	2
124	Canada	670	Yukon									5.149	3.522	2.542	1.924	2.002	1.981	1.958	1.733	1.557	1.598888889	2009	2
218	Ecuador	0	Ecuador										6.500048543	6.107734366	5.499751289	4.72953441	3.88465265	3.346374122	3.046151288	2.778261111	2.516752945	2010	0
218	Ecuador	1	Azuay										6.132780273	5.897285208	5.506890295	4.927396476	4.09267922	3.410952394	2.926184177	2.569883169	2.310450431	2010	2
218	Ecuador	2	Bolivar										6.566973046	6.506304722	6.178702941	5.554803371	4.705864011	4.071056963	3.671348105	3.261266206	2.80144132	2010	2
